Reporting Year,Facility ID,Facility Name,Industry,Chemical ID,Chemical Name,CAS No,Processed,Manufactured,Other Use,Released to Air,Released to Land,Released to Surface Water,Released to Disposal,Released to Recycling
2014,553,Autostyle Autobody Inc,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,933,438,,,,
2014,25151,Autotek Electroplating Ltd,"Coating, Engraving & Heat Treating Activities",9,"Chromium, Non-Hexavalent and its compounds",,208,,,0,,,,
2014,25151,Autotek Electroplating Ltd,"Coating, Engraving & Heat Treating Activities",23,Nitrogen Oxides (NOx),11104-93-1,,674,,674,,,,
2014,23537,Autotrin Autobody Repairs,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,102,102,,,,
2014,23348,Avenue 1 Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,153,56,,,,
2014,23278,Avenue Collision Inc,"Automotive Body, Paint & Interior R&M",25,Volatile Organic Compounds (VOCs) Total,,,,387,387,,,,
2014,235,BASF Canada,Resin & Synthetic Rubber Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,220,,220,,,,
2014,235,BASF Canada,Resin & Synthetic Rubber Mfg.,25,Volatile Organic Compounds (VOCs) Total,,350000,55,0,3100,,,,
2014,24253,BLM Automatic Clutch Limited,Machine Shops,25,Volatile Organic Compounds (VOCs) Total,,425,,30,455,,,,
2014,22960,Bathurst Village Cleaners Ltd,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),23,Nitrogen Oxides (NOx),11104-93-1,,39,,39,,,,
2014,22960,Bathurst Village Cleaners Ltd,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),24,Particulate Matter 2.5 (PM2.5),,,1,,1,,,,
2014,22960,Bathurst Village Cleaners Ltd,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,618,274,,,,
2014,22960,Bathurst Village Cleaners Ltd,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),25,Volatile Organic Compounds (VOCs) Total,,,2,,2,,,,
2014,180,Battenfeld Grease Canada Ltd,Other Petroleum & Coal Products Mfg.,23,Nitrogen Oxides (NOx),11104-93-1,,437,,437,,,,
2014,180,Battenfeld Grease Canada Ltd,Other Petroleum & Coal Products Mfg.,24,Particulate Matter 2.5 (PM2.5),,,8,,8,,,,
2014,180,Battenfeld Grease Canada Ltd,Other Petroleum & Coal Products Mfg.,25,Volatile Organic Compounds (VOCs) Total,,102,7020,,7122,,,,
2014,25564,Bax Canada Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,24,Particulate Matter 2.5 (PM2.5),,,167,,167,,,,
2014,25564,Bax Canada Ltd,Wood Kitchen Cabinet & Counter Top Mfg.,25,Volatile Organic Compounds (VOCs) Total,,,234,,234,,,,
2014,25353,Beaver Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),25,Volatile Organic Compounds (VOCs) Total,,,0,99,36,,,,
2014,23296,Bellwyck Packaging,Other Printing,25,Volatile Organic Compounds (VOCs) Total,,,,13055,4329,,,,
2014,22307,Belsize Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,100,81,,,,
2014,24342,Bernard Athletic Knit Enterprises Limited,Sporting Goods Stores,19,Tetrachloroethylene (Perchloroethylene),127-18-4,,,100,30,,,,
2014,22379,Bernardo Funeral Home Ltd,Funeral Homes,14,Formaldehyde,50-00-0,,,5,0,,,,
